lat_strength,condition,delta_lim,entropy,switching,entropy_plus_switching,q_error
0.0425,sDBS,0.2,0.015238676220178604,0.005323920398950577,0.012264249846339226,0.09212248772382736
0.0425,Sector DBS,0.2,0.0930035337805748,0.052807312458753586,0.08094466477632523,0.0903482437133789
0.0425,PD,0.5,0.014231032691895962,0.00367940217256546,0.011065542697906494,0.09222353249788284
0.0425,sDBS,0.5,0.017516398802399635,0.005689369048923254,0.013968289829790592,0.09201964735984802
0.0425,Sector DBS,0.5,0.10822799801826477,0.05620431900024414,0.09262089431285858,0.07582733035087585
0.0425,PD,1.0,0.01627134531736374,0.004036544822156429,0.012600905261933804,0.09250566363334656
0.0425,sDBS,1.0,0.016080908477306366,0.004584718029946089,0.01263204962015152,0.0912255346775055
0.0425,Sector DBS,1.0,0.11479249596595764,0.059518277645111084,0.09821023046970367,0.07335209101438522
0.0475,PD,0.1,0.5210239887237549,0.33742526173591614,0.46594440937042236,0.11710627377033234
0.0475,sDBS,0.1,0.5133972764015198,0.3333720862865448,0.45938974618911743,0.11589229851961136
0.0475,Sector DBS,0.1,0.582556962966919,0.39290696382522583,0.5256618857383728,0.11402131617069244
0.0475,PD,0.2,0.014418058097362518,0.004617940168827772,0.011478022672235966,0.09206940978765488
0.0475,sDBS,0.2,0.016655392944812775,0.0050415280275046825,0.013171232305467129,0.09220963716506958
0.0475,Sector DBS,0.2,0.09527644515037537,0.05580564960837364,0.08343519270420074,0.09140246361494064
0.0475,PD,0.5,0.017443180084228516,0.004916944075375795,0.013685310259461403,0.09204154461622238
0.0475,sDBS,0.5,0.014557041227817535,0.0040448508225381374,0.011403382755815983,0.09203817695379257
0.0475,Sector DBS,0.5,0.10624323785305023,0.05696843937039375,0.09146080166101456,0.07483696937561035
0.0475,PD,1.0,0.014397979713976383,0.004318936727941036,0.011374265886843204,0.09203749895095825
0.0475,sDBS,1.0,0.016585374251008034,0.005897010210901499,0.013378863222897053,0.09224235266447067
0.0475,Sector DBS,1.0,0.10795106738805771,0.05566445738077164,0.09226507693529129,0.07262789458036423
